OFFENSE,BLOCK_GROUP,COUNT(*)
"ASSAULT W/DANGEROUS WEAPON",,9
"ASSAULT W/DANGEROUS WEAPON","000100 1",3
"ASSAULT W/DANGEROUS WEAPON","000100 2",3
"ASSAULT W/DANGEROUS WEAPON","000100 3",7
"ASSAULT W/DANGEROUS WEAPON","000100 4",31
"ASSAULT W/DANGEROUS WEAPON","000201 1",1
"ASSAULT W/DANGEROUS WEAPON","000202 1",7
"ASSAULT W/DANGEROUS WEAPON","000202 2",1
"ASSAULT W/DANGEROUS WEAPON","000202 3",19
"ASSAULT W/DANGEROUS WEAPON","000202 4",24
"ASSAULT W/DANGEROUS WEAPON","000300 1",11
"ASSAULT W/DANGEROUS WEAPON","000300 2",2
"ASSAULT W/DANGEROUS WEAPON","000300 3",3
"ASSAULT W/DANGEROUS WEAPON","000300 4",2
"ASSAULT W/DANGEROUS WEAPON","000501 1",1
"ASSAULT W/DANGEROUS WEAPON","000501 2",13
"ASSAULT W/DANGEROUS WEAPON","000502 1",4
"ASSAULT W/DANGEROUS WEAPON","000502 2",3
"ASSAULT W/DANGEROUS WEAPON","000600 1",6
"ASSAULT W/DANGEROUS WEAPON","000600 2",4
"ASSAULT W/DANGEROUS WEAPON","000600 4",1
"ASSAULT W/DANGEROUS WEAPON","000701 1",2
"ASSAULT W/DANGEROUS WEAPON","000701 4",3
"ASSAULT W/DANGEROUS WEAPON","000801 1",1
"ASSAULT W/DANGEROUS WEAPON","000801 3",2
"ASSAULT W/DANGEROUS WEAPON","000801 4",4
"ASSAULT W/DANGEROUS WEAPON","000802 1",1
"ASSAULT W/DANGEROUS WEAPON","000901 1",5
"ASSAULT W/DANGEROUS WEAPON","000901 3",1
"ASSAULT W/DANGEROUS WEAPON","000902 1",1
"ASSAULT W/DANGEROUS WEAPON","000902 2",3
"ASSAULT W/DANGEROUS WEAPON","001001 1",8
"ASSAULT W/DANGEROUS WEAPON","001001 2",13
"ASSAULT W/DANGEROUS WEAPON","001001 4",5
"ASSAULT W/DANGEROUS WEAPON","001002 2",3
"ASSAULT W/DANGEROUS WEAPON","001002 3",11
"ASSAULT W/DANGEROUS WEAPON","001100 1",8
"ASSAULT W/DANGEROUS WEAPON","001100 2",2
"ASSAULT W/DANGEROUS WEAPON","001100 3",4
"ASSAULT W/DANGEROUS WEAPON","001100 4",10
"ASSAULT W/DANGEROUS WEAPON","001200 1",9
"ASSAULT W/DANGEROUS WEAPON","001200 3",1
"ASSAULT W/DANGEROUS WEAPON","001200 4",5
"ASSAULT W/DANGEROUS WEAPON","001301 2",1
"ASSAULT W/DANGEROUS WEAPON","001302 1",2
"ASSAULT W/DANGEROUS WEAPON","001302 2",4
"ASSAULT W/DANGEROUS WEAPON","001302 3",6
"ASSAULT W/DANGEROUS WEAPON","001401 1",1
"ASSAULT W/DANGEROUS WEAPON","001500 1",2
"ASSAULT W/DANGEROUS WEAPON","001500 4",2
"ASSAULT W/DANGEROUS WEAPON","001600 1",3
"ASSAULT W/DANGEROUS WEAPON","001600 2",15
"ASSAULT W/DANGEROUS WEAPON","001600 4",5
"ASSAULT W/DANGEROUS WEAPON","001702 1",18
"ASSAULT W/DANGEROUS WEAPON","001702 2",11
"ASSAULT W/DANGEROUS WEAPON","001803 1",7
"ASSAULT W/DANGEROUS WEAPON","001803 2",5
"ASSAULT W/DANGEROUS WEAPON","001804 1",4
"ASSAULT W/DANGEROUS WEAPON","001804 2",57
"ASSAULT W/DANGEROUS WEAPON","001804 3",14
"ASSAULT W/DANGEROUS WEAPON","001901 1",4
"ASSAULT W/DANGEROUS WEAPON","001901 2",7
"ASSAULT W/DANGEROUS WEAPON","001901 3",13
"ASSAULT W/DANGEROUS WEAPON","001901 4",8
"ASSAULT W/DANGEROUS WEAPON","001902 1",10
"ASSAULT W/DANGEROUS WEAPON","001902 2",7
