Sum of COUNT,Column Labels,,,,
Row Labels,ASSAULT W/DANGEROUS WEAPON,HOMICIDE,ROBBERY,SEX ABUSE,Grand Total
A0001001,3,,2,1,6
A0001002,3,,10,2,15
A0001003,7,,8,2,17
A0001004,31,,36,7,74
A0002011,1,,5,4,10
A0002021,7,1,6,6,20
A0002022,1,1,15,1,18
A0002023,19,,23,9,51
A0002024,24,1,20,11,56
A0003001,11,,8,3,22
A0003002,2,,,,2
A0003003,3,,1,,4
A0003004,2,,,1,3
A0004001,,,1,2,3
A0004002,,5,1,,6
A0005011,1,,6,2,9
A0005012,13,,8,3,24
A0005021,4,,10,,14
A0005022,3,,5,2,10
A0006001,6,,,,6
A0006002,4,,7,2,13
A0006003,,,6,,6
A0006004,1,,2,,3
A0007011,2,,4,,6
A0007012,,,1,2,3
A0007014,3,,,,3
A0007021,,1,3,,4
A0007022,,,,2,2
A0007023,,,3,,3
A0008011,1,,3,,4
A0008013,2,,1,2,5
A0008014,4,,1,,5
A0008021,1,,,,1
A0008022,,,1,,1
A0009011,5,,2,1,8
A0009012,,,2,,2
A0009013,1,,7,4,12
A0009021,1,,1,,2
A0009022,3,,6,,9
A0010011,8,,12,2,22
A0010012,13,,20,3,36
A0010013,,,3,,3
A0010014,5,,8,,13
A0010015,,,1,,1
A0010016,,,4,,4
A0010022,3,,2,4,9
A0010023,11,,4,1,16
A0011001,8,,19,,27
A0011002,2,,9,,11
A0011003,4,,13,1,18
A0011004,10,,37,,47
A0012001,9,,2,3,14
A0012002,,,7,,7
A0012003,1,,7,1,9
A0012004,5,,11,,16
A0013012,1,,,,1
A0013021,2,,5,,7
A0013022,4,,5,,9
A0013023,6,,1,6,13
A0014011,1,,2,,3
A0014012,,,3,1,4
A0014021,,,2,,2
A0014022,,,3,,3
A0014023,,,2,,2
A0015001,2,1,,,3
A0015002,,,3,,3
A0015003,,,1,1,2
A0015004,2,,,,2
A0015005,,,2,,2
A0016001,3,,15,,18
A0016002,15,,31,2,48
A0016003,,,4,,4
A0016004,5,,7,,12
A0017021,18,1,44,,63
A0017022,11,1,37,2,51
A0018031,7,1,21,2,31
A0018032,5,,58,4,67
A0018041,4,1,21,,26
A0018042,57,,78,9,144
A0018043,14,1,37,1,53
A0019011,4,,12,6,22
A0019012,7,,20,3,30
A0019013,13,1,32,,46
A0019014,8,1,17,2,28
A0019021,10,1,10,,21
A0019022,7,,15,,22
A0020011,14,2,27,2,45
A0020012,6,,42,2,50
A0020021,18,,40,1,59
A0020022,31,3,54,10,98
A0020023,52,2,82,6,142
A0021011,14,,11,3,28
A0021012,21,2,24,4,51
A0021013,13,,14,,27
A0021014,18,4,30,4,56
A0021015,33,1,51,8,93
A0021021,5,,6,1,12
A0021022,12,,22,2,36
A0021023,12,,14,4,30
A0021024,14,1,20,2,37
A0021025,6,,12,1,19
A0021026,12,,14,1,27
A0022011,10,3,23,1,37
A0022012,27,2,32,2,63
A0022013,13,,12,2,27
A0022021,36,,48,3,87
A0022022,29,2,16,3,50
A0022023,3,,11,1,15
A0023011,6,1,11,4,22
A0023012,24,,19,1,44
A0023021,24,,15,11,50
A0024001,10,,14,4,28
A0024002,12,1,38,3,54
A0024003,11,1,17,3,32
A0024004,5,,14,,19
A0025011,25,,69,6,100
A0025012,11,,29,3,43
A0025021,34,1,47,3,85
A0025022,25,1,50,3,79
A0025023,14,,40,3,57
A0025024,24,1,56,7,88
A0026001,3,,5,2,10
A0026002,,,15,3,18
A0027011,2,,5,2,9
A0027012,4,1,25,5,35
A0027013,2,,8,1,11
A0027014,3,,6,1,10
A0027021,44,2,45,6,97
A0027022,12,,28,1,41
A0027023,,,12,1,13
A0028011,22,2,31,2,57
A0028012,29,4,80,11,124
A0028021,65,3,121,5,194
A0028022,41,2,94,6,143
A0029001,8,1,50,1,60
A0029002,31,1,82,4,118
A0030001,34,,85,4,123
A0030002,41,1,63,4,109
A0031001,89,5,136,7,237
A0032001,8,1,13,3,25
A0032002,12,1,17,,30
A0032003,38,,30,5,73
A0032004,15,,26,5,46
A0033011,6,,26,1,33
A0033012,6,,29,,35
A0033013,8,1,18,3,30
A0033021,4,2,33,4,43
A0033022,21,5,37,1,64
