BG_ID,ADW,HOMICIDE,ROBBERY,SEX_ABUSE,TOTAL
A001001,3,,2,1,6
A001002,3,,10,2,15
A001003,7,,8,2,17
A001004,31,,36,7,74
A002011,1,,5,4,10
A002021,7,1,6,6,20
A002022,1,1,15,1,18
A002023,19,,23,9,51
A002024,24,1,20,11,56
A003001,11,,8,3,22
A003002,2,,,,2
A003003,3,,1,,4
A003004,2,,,1,3
A004001,,,1,2,3
A004002,,5,1,,6
A005011,1,,6,2,9
A005012,13,,8,3,24
A005021,4,,10,,14
A005022,3,,5,2,10
A006001,6,,,,6
A006002,4,,7,2,13
A006003,,,6,,6
A006004,1,,2,,3
A007011,2,,4,,6
A007012,,,1,2,3
A007014,3,,,,3
A007021,,1,3,,4
A007022,,,,2,2
A007023,,,3,,3
A008011,1,,3,,4
A008013,2,,1,2,5
A008014,4,,1,,5
A008021,1,,,,1
A008022,,,1,,1
A009011,5,,2,1,8
A009012,,,2,,2
A009013,1,,7,4,12
A009021,1,,1,,2
A009022,3,,6,,9
A010011,8,,12,2,22
A010012,13,,20,3,36
A010013,,,3,,3
A010014,5,,8,,13
A010015,,,1,,1
A010016,,,4,,4
A010022,3,,2,4,9
A010023,11,,4,1,16
A011001,8,,19,,27
A011002,2,,9,,11
A011003,4,,13,1,18
A011004,10,,37,,47
A012001,9,,2,3,14
A012002,,,7,,7
A012003,1,,7,1,9
A012004,5,,11,,16
A013012,1,,,,1
A013021,2,,5,,7
A013022,4,,5,,9
A013023,6,,1,6,13
A014011,1,,2,,3
A014012,,,3,1,4
A014021,,,2,,2
A014022,,,3,,3
A014023,,,2,,2
A015001,2,1,,,3
A015002,,,3,,3
A015003,,,1,1,2
A015004,2,,,,2
A015005,,,2,,2
A016001,3,,15,,18
A016002,15,,31,2,48
A016003,,,4,,4
A016004,5,,7,,12
A017021,18,1,44,,63
A017022,11,1,37,2,51
A018031,7,1,21,2,31
A018032,5,,58,4,67
A018041,4,1,21,,26
A018042,57,,78,9,144
A018043,14,1,37,1,53
A019011,4,,12,6,22
A019012,7,,20,3,30
A019013,13,1,32,,46
A019014,8,1,17,2,28
A019021,10,1,10,,21
A019022,7,,15,,22
A020011,14,2,27,2,45
A020012,6,,42,2,50
A020021,18,,40,1,59
A020022,31,3,54,10,98
A020023,52,2,82,6,142
A021011,14,,11,3,28
A021012,21,2,24,4,51
A021013,13,,14,,27
A021014,18,4,30,4,56
A021015,33,1,51,8,93
A021021,5,,6,1,12
A021022,12,,22,2,36
A021023,12,,14,4,30
A021024,14,1,20,2,37
A021025,6,,12,1,19
A021026,12,,14,1,27
A022011,10,3,23,1,37
A022012,27,2,32,2,63
A022013,13,,12,2,27
A022021,36,,48,3,87
A022022,29,2,16,3,50
A022023,3,,11,1,15
A023011,6,1,11,4,22
A023012,24,,19,1,44
A023021,24,,15,11,50
A024001,10,,14,4,28
A024002,12,1,38,3,54
A024003,11,1,17,3,32
A024004,5,,14,,19
A025011,25,,69,6,100
A025012,11,,29,3,43
A025021,34,1,47,3,85
A025022,25,1,50,3,79
A025023,14,,40,3,57
A025024,24,1,56,7,88
A026001,3,,5,2,10
A026002,,,15,3,18
A027011,2,,5,2,9
A027012,4,1,25,5,35
A027013,2,,8,1,11
A027014,3,,6,1,10
A027021,44,2,45,6,97
A027022,12,,28,1,41
A027023,,,12,1,13
A028011,22,2,31,2,57
A028012,29,4,80,11,124
A028021,65,3,121,5,194
A028022,41,2,94,6,143
A029001,8,1,50,1,60
A029002,31,1,82,4,118
A030001,34,,85,4,123
A030002,41,1,63,4,109
A031001,89,5,136,7,237
A032001,8,1,13,3,25
A032002,12,1,17,,30
A032003,38,,30,5,73
A032004,15,,26,5,46
A033011,6,,26,1,33
A033012,6,,29,,35
A033013,8,1,18,3,30
A033021,4,2,33,4,43
A033022,21,5,37,1,64
A034001,41,,28,1,70
A034002,31,1,98,9,139
A035001,40,7,81,4,132
A035002,36,,52,7,95
A036001,7,,35,2,44
A036002,10,1,21,3,35
A036003,31,3,73,2,109
A037001,11,,18,2,31
A037002,43,1,61,4,109
A037003,14,,35,6,55
A038001,9,2,41,10,62
A038002,7,,21,3,31
A038003,26,2,36,2,66
A039001,5,1,13,1,20
A039002,8,1,9,3,21
A039003,10,,22,1,33
A039004,,,11,,11
A040011,13,,29,2,44
A040012,,,3,,3
A040013,1,,9,,10
A040021,30,,39,11,80
A040022,10,,19,2,31
A040023,1,,16,,17
A041001,7,1,6,12,26
A041002,3,,3,,6
A041003,5,,10,2,17
A042011,7,,21,4,32
A042012,9,,27,2,38
A042021,4,,18,5,27
A042022,6,,17,3,26
A043001,43,2,43,6,94
A043002,24,1,36,6,67
A044001,19,,103,7,129
A044002,94,5,263,18,380
A046001,93,3,68,7,171
A046002,33,2,66,3,104
A047011,21,2,13,2,38
A047012,40,4,41,3,88
A047021,51,2,84,11,148
A048011,44,2,95,10,151
A048021,7,1,30,2,40
A048022,16,3,36,6,61
A049011,26,3,32,1,62
A049012,36,1,59,2,98
A049021,21,2,27,3,53
A049022,31,,59,7,97
A050011,9,,39,,48
A050012,7,1,22,2,32
A050021,1,,11,2,14
A050022,8,,15,4,27
A050023,2,2,17,1,22
A050024,15,,9,9,33
A052011,11,,11,5,27
A052012,4,,33,4,41
A052013,24,,30,8,62
A052014,12,,31,2,45
A053011,3,,4,,7
A053012,7,,20,3,30
A053013,6,,10,2,18
A053014,16,,17,4,37
A055001,40,,53,7,100
A055002,10,,8,1,19
A055003,21,1,26,11,59
A055004,9,,15,4,28
