OFFENSE,BLOCK_GROUP,COUNT(*)
ROBBERY,,4
ROBBERY,"000100 1",2
ROBBERY,"000100 2",10
ROBBERY,"000100 3",8
ROBBERY,"000100 4",36
ROBBERY,"000201 1",5
ROBBERY,"000202 1",6
ROBBERY,"000202 2",15
ROBBERY,"000202 3",23
ROBBERY,"000202 4",20
ROBBERY,"000300 1",8
ROBBERY,"000300 3",1
ROBBERY,"000400 1",1
ROBBERY,"000400 2",1
ROBBERY,"000501 1",6
ROBBERY,"000501 2",8
ROBBERY,"000502 1",10
ROBBERY,"000502 2",5
ROBBERY,"000600 2",7
ROBBERY,"000600 3",6
ROBBERY,"000600 4",2
ROBBERY,"000701 1",4
ROBBERY,"000701 2",1
ROBBERY,"000702 1",3
ROBBERY,"000702 3",3
ROBBERY,"000801 1",3
ROBBERY,"000801 3",1
ROBBERY,"000801 4",1
ROBBERY,"000802 2",1
ROBBERY,"000901 1",2
ROBBERY,"000901 2",2
ROBBERY,"000901 3",7
ROBBERY,"000902 1",1
ROBBERY,"000902 2",6
ROBBERY,"001001 1",12
ROBBERY,"001001 2",20
ROBBERY,"001001 3",3
ROBBERY,"001001 4",8
ROBBERY,"001001 5",1
ROBBERY,"001001 6",4
ROBBERY,"001002 2",2
ROBBERY,"001002 3",4
ROBBERY,"001100 1",19
ROBBERY,"001100 2",9
ROBBERY,"001100 3",13
ROBBERY,"001100 4",37
ROBBERY,"001200 1",2
ROBBERY,"001200 2",7
ROBBERY,"001200 3",7
ROBBERY,"001200 4",11
ROBBERY,"001302 1",5
ROBBERY,"001302 2",5
ROBBERY,"001302 3",1
ROBBERY,"001401 1",2
ROBBERY,"001401 2",3
ROBBERY,"001402 1",2
ROBBERY,"001402 2",3
ROBBERY,"001402 3",2
ROBBERY,"001500 2",3
ROBBERY,"001500 3",1
ROBBERY,"001500 5",2
ROBBERY,"001600 1",15
ROBBERY,"001600 2",31
ROBBERY,"001600 3",4
ROBBERY,"001600 4",7
ROBBERY,"001702 1",44
ROBBERY,"001702 2",37
ROBBERY,"001803 1",21
ROBBERY,"001803 2",58
ROBBERY,"001804 1",21
ROBBERY,"001804 2",78
