GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - For rent,Margin of Error; Total: - For rent,"Estimate; Total: - Rented, not occupied","Margin of Error; Total: - Rented, not occupied",Estimate; Total: - For sale only,Margin of Error; Total: - For sale only,"Estimate; Total: - Sold, not occupied","Margin of Error; Total: - Sold, not occupied","Estimate; Total: - For seasonal, recreational, or occasional use","Margin of Error; Total: - For seasonal, recreational, or occasional use",Estimate; Total: - For migrant workers,Margin of Error; Total: - For migrant workers,Estimate; Total: - Other vacant,Margin of Error; Total: - Other vacant
1500000US110010001001,110010001001,"Block Group 1, Census Tract 1, District of Columbia, District of Columbia",121,105,0,12,0,12,0,12,0,12,63,78,0,12,58,72
1500000US110010001002,110010001002,"Block Group 2, Census Tract 1, District of Columbia, District of Columbia",171,118,40,65,0,12,0,12,0,12,0,12,0,12,131,99
1500000US110010001003,110010001003,"Block Group 3, Census Tract 1, District of Columbia, District of Columbia",87,96,0,12,0,12,0,12,0,12,87,96,0,12,0,12
1500000US110010001004,110010001004,"Block Group 4, Census Tract 1, District of Columbia, District of Columbia",109,93,80,89,0,12,0,12,0,12,14,22,0,12,15,25
1500000US110010002011,110010002011,"Block Group 1, Census Tract 2.01, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010002021,110010002021,"Block Group 1, Census Tract 2.02, District of Columbia, District of Columbia",89,63,0,12,0,12,0,12,0,12,27,35,0,12,62,58
1500000US110010002022,110010002022,"Block Group 2, Census Tract 2.02, District of Columbia, District of Columbia",20,22,0,12,0,12,0,12,0,12,20,22,0,12,0,12
1500000US110010002023,110010002023,"Block Group 3, Census Tract 2.02, District of Columbia, District of Columbia",19,29,0,12,0,12,0,12,0,12,0,12,0,12,19,29
1500000US110010002024,110010002024,"Block Group 4, Census Tract 2.02, District of Columbia, District of Columbia",138,99,33,51,0,12,0,12,0,12,18,28,0,12,87,82
1500000US110010003001,110010003001,"Block Group 1, Census Tract 3, District of Columbia, District of Columbia",43,70,0,12,0,12,0,12,0,12,0,12,0,12,43,70
1500000US110010003002,110010003002,"Block Group 2, Census Tract 3, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010003003,110010003003,"Block Group 3, Census Tract 3, District of Columbia, District of Columbia",15,24,0,12,0,12,15,24,0,12,0,12,0,12,0,12
1500000US110010003004,110010003004,"Block Group 4, Census Tract 3, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010004001,110010004001,"Block Group 1, Census Tract 4, District of Columbia, District of Columbia",32,34,0,12,0,12,0,12,14,21,0,12,0,12,18,28
1500000US110010004002,110010004002,"Block Group 2, Census Tract 4, District of Columbia, District of Columbia",46,37,19,30,6,10,0,12,0,12,16,18,0,12,5,7
1500000US110010005011,110010005011,"Block Group 1, Census Tract 5.01, District of Columbia, District of Columbia",12,19,0,12,12,19,0,12,0,12,0,12,0,12,0,12
1500000US110010005012,110010005012,"Block Group 2, Census Tract 5.01, District of Columbia, District of Columbia",168,114,118,102,38,61,0,12,0,12,12,21,0,12,0,12
1500000US110010005021,110010005021,"Block Group 1, Census Tract 5.02, District of Columbia, District of Columbia",84,66,38,48,0,12,0,12,10,15,9,14,0,12,27,44
1500000US110010005022,110010005022,"Block Group 2, Census Tract 5.02, District of Columbia, District of Columbia",150,88,27,44,0,12,0,12,0,12,96,68,0,12,27,42
1500000US110010006001,110010006001,"Block Group 1, Census Tract 6, District of Columbia, District of Columbia",35,60,0,12,0,12,0,12,0,12,0,12,0,12,35,60
1500000US110010006002,110010006002,"Block Group 2, Census Tract 6, District of Columbia, District of Columbia",12,20,12,20,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010006003,110010006003,"Block Group 3, Census Tract 6, District of Columbia, District of Columbia",28,45,0,12,0,12,0,12,0,12,0,12,0,12,28,45
1500000US110010006004,110010006004,"Block Group 4, Census Tract 6, District of Columbia, District of Columbia",96,92,0,12,0,12,35,54,0,12,47,75,0,12,14,23
1500000US110010007011,110010007011,"Block Group 1, Census Tract 7.01, District of Columbia, District of Columbia",34,55,0,12,0,12,0,12,0,12,0,12,0,12,34,55
1500000US110010007012,110010007012,"Block Group 2, Census Tract 7.01, District of Columbia, District of Columbia",131,112,76,87,13,21,0,12,0,12,0,12,0,12,42,68
1500000US110010007013,110010007013,"Block Group 3, Census Tract 7.01, District of Columbia, District of Columbia",75,86,0,12,0,12,0,12,0,12,39,63,0,12,36,58
1500000US110010007014,110010007014,"Block Group 4, Census Tract 7.01, District of Columbia, District of Columbia",39,63,0,12,0,12,0,12,39,63,0,12,0,12,0,12
1500000US110010007021,110010007021,"Block Group 1, Census Tract 7.02, District of Columbia, District of Columbia",53,73,0,12,9,15,0,12,0,12,44,71,0,12,0,12
1500000US110010007022,110010007022,"Block Group 2, Census Tract 7.02, District of Columbia, District of Columbia",188,134,80,91,0,12,0,12,0,12,0,12,0,12,108,101
1500000US110010007023,110010007023,"Block Group 3, Census Tract 7.02, District of Columbia, District of Columbia",89,100,89,100,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010008011,110010008011,"Block Group 1, Census Tract 8.01, District of Columbia, District of Columbia",19,31,0,12,0,12,0,12,0,12,19,31,0,12,0,12
1500000US110010008012,110010008012,"Block Group 2, Census Tract 8.01, District of Columbia, District of Columbia",16,26,0,12,0,12,0,12,0,12,16,26,0,12,0,12
1500000US110010008013,110010008013,"Block Group 3, Census Tract 8.01, District of Columbia, District of Columbia",104,118,0,12,48,76,0,12,0,12,56,91,0,12,0,12
1500000US110010008014,110010008014,"Block Group 4, Census Tract 8.01, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010008021,110010008021,"Block Group 1, Census Tract 8.02, District of Columbia, District of Columbia",28,34,8,12,0,12,0,12,0,12,0,12,0,12,20,32
1500000US110010008022,110010008022,"Block Group 2, Census Tract 8.02, District of Columbia, District of Columbia",44,49,27,41,0,12,17,28,0,12,0,12,0,12,0,12
1500000US110010009011,110010009011,"Block Group 1, Census Tract 9.01, District of Columbia, District of Columbia",29,47,29,47,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010009012,110010009012,"Block Group 2, Census Tract 9.01, District of Columbia, District of Columbia",32,51,32,51,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010009013,110010009013,"Block Group 3, Census Tract 9.01, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010009021,110010009021,"Block Group 1, Census Tract 9.02, District of Columbia, District of Columbia",6,9,0,12,0,12,0,12,0,12,0,12,0,12,6,9
1500000US110010009022,110010009022,"Block Group 2, Census Tract 9.02, District of Columbia, District of Columbia",21,31,0,12,0,12,0,12,0,12,0,12,0,12,21,31
1500000US110010010011,110010010011,"Block Group 1, Census Tract 10.01, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010010012,110010010012,"Block Group 2, Census Tract 10.01, District of Columbia, District of Columbia",17,28,0,12,0,12,0,12,0,12,17,28,0,12,0,12
1500000US110010010013,110010010013,"Block Group 3, Census Tract 10.01, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010010014,110010010014,"Block Group 4, Census Tract 10.01, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
