OFFENSE,BLOCK_GROUP,COUNT,BG_ID
ASSAULT W/DANGEROUS WEAPON,000100 1,3,A001001
ASSAULT W/DANGEROUS WEAPON,000100 2,3,A001002
ASSAULT W/DANGEROUS WEAPON,000100 3,7,A001003
ASSAULT W/DANGEROUS WEAPON,000100 4,31,A001004
ASSAULT W/DANGEROUS WEAPON,000201 1,1,A002011
ASSAULT W/DANGEROUS WEAPON,000202 1,7,A002021
ASSAULT W/DANGEROUS WEAPON,000202 2,1,A002022
ASSAULT W/DANGEROUS WEAPON,000202 3,19,A002023
ASSAULT W/DANGEROUS WEAPON,000202 4,24,A002024
ASSAULT W/DANGEROUS WEAPON,000300 1,11,A003001
ASSAULT W/DANGEROUS WEAPON,000300 2,2,A003002
ASSAULT W/DANGEROUS WEAPON,000300 3,3,A003003
ASSAULT W/DANGEROUS WEAPON,000300 4,2,A003004
ASSAULT W/DANGEROUS WEAPON,000501 1,1,A005011
ASSAULT W/DANGEROUS WEAPON,000501 2,13,A005012
ASSAULT W/DANGEROUS WEAPON,000502 1,4,A005021
ASSAULT W/DANGEROUS WEAPON,000502 2,3,A005022
ASSAULT W/DANGEROUS WEAPON,000600 1,6,A006001
ASSAULT W/DANGEROUS WEAPON,000600 2,4,A006002
ASSAULT W/DANGEROUS WEAPON,000600 4,1,A006004
ASSAULT W/DANGEROUS WEAPON,000701 1,2,A007011
ASSAULT W/DANGEROUS WEAPON,000701 4,3,A007014
ASSAULT W/DANGEROUS WEAPON,000801 1,1,A008011
ASSAULT W/DANGEROUS WEAPON,000801 3,2,A008013
ASSAULT W/DANGEROUS WEAPON,000801 4,4,A008014
ASSAULT W/DANGEROUS WEAPON,000802 1,1,A008021
ASSAULT W/DANGEROUS WEAPON,000901 1,5,A009011
ASSAULT W/DANGEROUS WEAPON,000901 3,1,A009013
ASSAULT W/DANGEROUS WEAPON,000902 1,1,A009021
ASSAULT W/DANGEROUS WEAPON,000902 2,3,A009022
ASSAULT W/DANGEROUS WEAPON,001001 1,8,A010011
ASSAULT W/DANGEROUS WEAPON,001001 2,13,A010012
ASSAULT W/DANGEROUS WEAPON,001001 4,5,A010014
ASSAULT W/DANGEROUS WEAPON,001002 2,3,A010022
ASSAULT W/DANGEROUS WEAPON,001002 3,11,A010023
ASSAULT W/DANGEROUS WEAPON,001100 1,8,A011001
ASSAULT W/DANGEROUS WEAPON,001100 2,2,A011002
ASSAULT W/DANGEROUS WEAPON,001100 3,4,A011003
ASSAULT W/DANGEROUS WEAPON,001100 4,10,A011004
ASSAULT W/DANGEROUS WEAPON,001200 1,9,A012001
ASSAULT W/DANGEROUS WEAPON,001200 3,1,A012003
ASSAULT W/DANGEROUS WEAPON,001200 4,5,A012004
ASSAULT W/DANGEROUS WEAPON,001301 2,1,A013012
ASSAULT W/DANGEROUS WEAPON,001302 1,2,A013021
ASSAULT W/DANGEROUS WEAPON,001302 2,4,A013022
ASSAULT W/DANGEROUS WEAPON,001302 3,6,A013023
ASSAULT W/DANGEROUS WEAPON,001401 1,1,A014011
ASSAULT W/DANGEROUS WEAPON,001500 1,2,A015001
ASSAULT W/DANGEROUS WEAPON,001500 4,2,A015004
ASSAULT W/DANGEROUS WEAPON,001600 1,3,A016001
ASSAULT W/DANGEROUS WEAPON,001600 2,15,A016002
ASSAULT W/DANGEROUS WEAPON,001600 4,5,A016004
ASSAULT W/DANGEROUS WEAPON,001702 1,18,A017021
ASSAULT W/DANGEROUS WEAPON,001702 2,11,A017022
ASSAULT W/DANGEROUS WEAPON,001803 1,7,A018031
ASSAULT W/DANGEROUS WEAPON,001803 2,5,A018032
ASSAULT W/DANGEROUS WEAPON,001804 1,4,A018041
ASSAULT W/DANGEROUS WEAPON,001804 2,57,A018042
