OFFENSE,BLOCK_GROUP,COUNT(*)
"SEX ABUSE",,2
"SEX ABUSE","000100 1",1
"SEX ABUSE","000100 2",2
"SEX ABUSE","000100 3",2
"SEX ABUSE","000100 4",7
"SEX ABUSE","000201 1",4
"SEX ABUSE","000202 1",6
"SEX ABUSE","000202 2",1
"SEX ABUSE","000202 3",9
"SEX ABUSE","000202 4",11
"SEX ABUSE","000300 1",3
"SEX ABUSE","000300 4",1
"SEX ABUSE","000400 1",2
"SEX ABUSE","000501 1",2
"SEX ABUSE","000501 2",3
"SEX ABUSE","000502 2",2
"SEX ABUSE","000600 2",2
"SEX ABUSE","000701 2",2
"SEX ABUSE","000702 2",2
"SEX ABUSE","000801 3",2
"SEX ABUSE","000901 1",1
"SEX ABUSE","000901 3",4
"SEX ABUSE","001001 1",2
"SEX ABUSE","001001 2",3
"SEX ABUSE","001002 2",4
"SEX ABUSE","001002 3",1
"SEX ABUSE","001100 3",1
"SEX ABUSE","001200 1",3
"SEX ABUSE","001200 3",1
"SEX ABUSE","001302 3",6
"SEX ABUSE","001401 2",1
"SEX ABUSE","001500 3",1
"SEX ABUSE","001600 2",2
"SEX ABUSE","001702 2",2
"SEX ABUSE","001803 1",2
"SEX ABUSE","001803 2",4
"SEX ABUSE","001804 2",9
"SEX ABUSE","001804 3",1
"SEX ABUSE","001901 1",6
"SEX ABUSE","001901 2",3
"SEX ABUSE","001901 4",2
"SEX ABUSE","002001 1",2
"SEX ABUSE","002001 2",2
"SEX ABUSE","002002 1",1
"SEX ABUSE","002002 2",10
"SEX ABUSE","002002 3",6
"SEX ABUSE","002101 1",3
"SEX ABUSE","002101 2",4
"SEX ABUSE","002101 4",4
"SEX ABUSE","002101 5",8
"SEX ABUSE","002102 1",1
"SEX ABUSE","002102 2",2
"SEX ABUSE","002102 3",4
"SEX ABUSE","002102 4",2
"SEX ABUSE","002102 5",1
"SEX ABUSE","002102 6",1
"SEX ABUSE","002201 1",1
"SEX ABUSE","002201 2",2
"SEX ABUSE","002201 3",2
"SEX ABUSE","002202 1",3
"SEX ABUSE","002202 2",3
"SEX ABUSE","002202 3",1
"SEX ABUSE","002301 1",4
"SEX ABUSE","002301 2",1
"SEX ABUSE","002302 1",11
"SEX ABUSE","002400 1",4
"SEX ABUSE","002400 2",3
"SEX ABUSE","002400 3",3
"SEX ABUSE","002501 1",6
"SEX ABUSE","002501 2",3
"SEX ABUSE","002502 1",3
"SEX ABUSE","002502 2",3
"SEX ABUSE","002502 3",3
"SEX ABUSE","002502 4",7
"SEX ABUSE","002600 1",2
"SEX ABUSE","002600 2",3
"SEX ABUSE","002701 1",2
"SEX ABUSE","002701 2",5
"SEX ABUSE","002701 3",1
"SEX ABUSE","002701 4",1
"SEX ABUSE","002702 1",6
"SEX ABUSE","002702 2",1
"SEX ABUSE","002702 3",1
"SEX ABUSE","002801 1",2
"SEX ABUSE","002801 2",11
"SEX ABUSE","002802 1",5
"SEX ABUSE","002802 2",6
"SEX ABUSE","002900 1",1
"SEX ABUSE","002900 2",4
"SEX ABUSE","003000 1",4
"SEX ABUSE","003000 2",4
"SEX ABUSE","003100 1",7
"SEX ABUSE","003200 1",3
"SEX ABUSE","003200 3",5
"SEX ABUSE","003200 4",5
"SEX ABUSE","003301 1",1
"SEX ABUSE","003301 3",3
"SEX ABUSE","003302 1",4
"SEX ABUSE","003302 2",1
"SEX ABUSE","003400 1",1
"SEX ABUSE","003400 2",9
"SEX ABUSE","003500 1",4
"SEX ABUSE","003500 2",7
"SEX ABUSE","003600 1",2
"SEX ABUSE","003600 2",3
"SEX ABUSE","003600 3",2
"SEX ABUSE","003700 1",2
"SEX ABUSE","003700 2",4
"SEX ABUSE","003700 3",6
"SEX ABUSE","003800 1",10
"SEX ABUSE","003800 2",3
"SEX ABUSE","003800 3",2
"SEX ABUSE","003900 1",1
"SEX ABUSE","003900 2",3
"SEX ABUSE","003900 3",1
"SEX ABUSE","004001 1",2
"SEX ABUSE","004002 1",11
"SEX ABUSE","004002 2",2
"SEX ABUSE","004100 1",12
"SEX ABUSE","004100 3",2
"SEX ABUSE","004201 1",4
"SEX ABUSE","004201 2",2
"SEX ABUSE","004202 1",5
"SEX ABUSE","004202 2",3
"SEX ABUSE","004300 1",6
"SEX ABUSE","004300 2",6
"SEX ABUSE","004400 1",7
"SEX ABUSE","004400 2",18
"SEX ABUSE","004600 1",7
"SEX ABUSE","004600 2",3
"SEX ABUSE","004701 1",2
"SEX ABUSE","004701 2",3
"SEX ABUSE","004702 1",11
"SEX ABUSE","004801 1",10
"SEX ABUSE","004802 1",2
"SEX ABUSE","004802 2",6
"SEX ABUSE","004901 1",1
"SEX ABUSE","004901 2",2
"SEX ABUSE","004902 1",3
"SEX ABUSE","004902 2",7
"SEX ABUSE","005001 2",2
"SEX ABUSE","005002 1",2
"SEX ABUSE","005002 2",4
"SEX ABUSE","005002 3",1
"SEX ABUSE","005002 4",9
"SEX ABUSE","005201 1",5
"SEX ABUSE","005201 2",4
"SEX ABUSE","005201 3",8
"SEX ABUSE","005201 4",2
"SEX ABUSE","005301 2",3
"SEX ABUSE","005301 3",2
"SEX ABUSE","005301 4",4
"SEX ABUSE","005500 1",7
"SEX ABUSE","005500 2",1
"SEX ABUSE","005500 3",11
"SEX ABUSE","005500 4",4
"SEX ABUSE","005500 5",1
"SEX ABUSE","005600 1",6
"SEX ABUSE","005600 2",1
"SEX ABUSE","005600 3",2
"SEX ABUSE","005600 4",4
"SEX ABUSE","005800 1",17
"SEX ABUSE","005800 2",7
"SEX ABUSE","005900 1",33
"SEX ABUSE","006202 1",22
"SEX ABUSE","006400 1",3
"SEX ABUSE","006400 2",3
"SEX ABUSE","006500 2",2
"SEX ABUSE","006600 1",4
"SEX ABUSE","006700 1",2
"SEX ABUSE","006700 2",1
"SEX ABUSE","006700 3",2
"SEX ABUSE","006801 1",6
"SEX ABUSE","006801 2",2
"SEX ABUSE","006802 1",3
"SEX ABUSE","006802 2",2
"SEX ABUSE","006804 1",27
"SEX ABUSE","007000 1",1
"SEX ABUSE","007000 2",5
"SEX ABUSE","007100 1",5
"SEX ABUSE","007100 2",3
"SEX ABUSE","007200 1",7
"SEX ABUSE","007200 2",5
"SEX ABUSE","007304 1",11
"SEX ABUSE","007304 2",7
"SEX ABUSE","007304 3",3
"SEX ABUSE","007401 1",9
"SEX ABUSE","007401 2",4
"SEX ABUSE","007403 1",9
"SEX ABUSE","007404 1",1
"SEX ABUSE","007404 3",5
"SEX ABUSE","007406 1",6
"SEX ABUSE","007406 2",17
"SEX ABUSE","007407 1",3
"SEX ABUSE","007407 2",6
"SEX ABUSE","007408 1",15
"SEX ABUSE","007409 1",1
"SEX ABUSE","007409 2",3
"SEX ABUSE","007409 3",12
"SEX ABUSE","007502 1",10
"SEX ABUSE","007502 2",3
"SEX ABUSE","007503 1",10
"SEX ABUSE","007503 2",3
"SEX ABUSE","007504 1",30
"SEX ABUSE","007601 1",6
"SEX ABUSE","007601 2",4
"SEX ABUSE","007601 3",5
"SEX ABUSE","007601 4",6
"SEX ABUSE","007601 5",3
"SEX ABUSE","007603 1",10
"SEX ABUSE","007604 1",5
"SEX ABUSE","007604 2",8
"SEX ABUSE","007604 3",4
"SEX ABUSE","007605 1",1
"SEX ABUSE","007605 2",1
"SEX ABUSE","007605 3",9
"SEX ABUSE","007703 2",1
"SEX ABUSE","007703 3",13
"SEX ABUSE","007703 4",1
"SEX ABUSE","007707 1",8
"SEX ABUSE","007707 2",1
"SEX ABUSE","007708 1",6
"SEX ABUSE","007708 2",14
"SEX ABUSE","007709 1",8
"SEX ABUSE","007709 2",4
"SEX ABUSE","007803 1",11
"SEX ABUSE","007803 2",2
"SEX ABUSE","007803 4",6
"SEX ABUSE","007804 1",5
"SEX ABUSE","007804 2",11
"SEX ABUSE","007804 3",7
"SEX ABUSE","007806 1",8
"SEX ABUSE","007806 2",6
"SEX ABUSE","007807 1",9
"SEX ABUSE","007807 2",6
"SEX ABUSE","007808 1",5
"SEX ABUSE","007808 2",3
"SEX ABUSE","007808 3",4
"SEX ABUSE","007809 1",8
"SEX ABUSE","007809 2",10
"SEX ABUSE","007901 1",6
"SEX ABUSE","007901 3",6
"SEX ABUSE","007901 4",6
"SEX ABUSE","007903 1",5
"SEX ABUSE","008002 2",1
"SEX ABUSE","008200 1",1
"SEX ABUSE","008200 2",1
"SEX ABUSE","008301 1",2
"SEX ABUSE","008302 1",2
"SEX ABUSE","008402 1",10
"SEX ABUSE","008402 2",3
"SEX ABUSE","008410 1",3
"SEX ABUSE","008701 1",4
"SEX ABUSE","008701 2",3
"SEX ABUSE","008702 1",5
"SEX ABUSE","008702 2",4
"SEX ABUSE","008802 1",4
"SEX ABUSE","008802 2",3
"SEX ABUSE","008802 3",3
"SEX ABUSE","008802 4",6
"SEX ABUSE","008803 1",43
"SEX ABUSE","008804 1",3
"SEX ABUSE","008804 2",7
"SEX ABUSE","008903 1",4
"SEX ABUSE","008903 2",1
"SEX ABUSE","008904 1",6
"SEX ABUSE","008904 2",7
"SEX ABUSE","009000 1",8
"SEX ABUSE","009000 2",2
"SEX ABUSE","009102 1",2
"SEX ABUSE","009102 2",13
"SEX ABUSE","009102 3",5
"SEX ABUSE","009201 1",9
"SEX ABUSE","009203 2",5
"SEX ABUSE","009204 1",5
"SEX ABUSE","009204 2",4
"SEX ABUSE","009301 1",1
"SEX ABUSE","009301 2",4
"SEX ABUSE","009301 3",2
"SEX ABUSE","009302 1",4
"SEX ABUSE","009400 2",1
"SEX ABUSE","009400 3",2
"SEX ABUSE","009501 1",2
"SEX ABUSE","009501 2",4
"SEX ABUSE","009501 3",9
"SEX ABUSE","009503 1",1
"SEX ABUSE","009503 2",1
"SEX ABUSE","009504 1",5
"SEX ABUSE","009504 2",2
"SEX ABUSE","009505 1",2
"SEX ABUSE","009505 2",4
"SEX ABUSE","009505 3",1
"SEX ABUSE","009507 1",2
"SEX ABUSE","009508 1",7
"SEX ABUSE","009508 2",4
"SEX ABUSE","009509 1",1
"SEX ABUSE","009509 3",1
"SEX ABUSE","009601 1",10
"SEX ABUSE","009602 1",15
"SEX ABUSE","009602 2",1
"SEX ABUSE","009603 1",3
"SEX ABUSE","009603 2",6
"SEX ABUSE","009603 3",12
"SEX ABUSE","009604 1",2
"SEX ABUSE","009604 2",3
"SEX ABUSE","009700 1",10
"SEX ABUSE","009700 2",1
"SEX ABUSE","009801 1",8
"SEX ABUSE","009802 2",7
"SEX ABUSE","009803 2",2
"SEX ABUSE","009803 3",6
"SEX ABUSE","009804 1",6
"SEX ABUSE","009804 2",3
"SEX ABUSE","009807 1",5
"SEX ABUSE","009807 2",6
"SEX ABUSE","009810 1",12
"SEX ABUSE","009810 2",1
"SEX ABUSE","009811 1",7
"SEX ABUSE","009811 2",12
