id2,BG_ID,BG_NAME,Geography,Population,Pct_Poverty,Pct_UnEmpl,Pct_VacUnits
1.10E+11,A001001,"Block Group 1, Census Tract 1, District of Columbia, District of Columbia","Block Group 1, Census Tract 1, District of Columbia, District of Columbia",1382,0,0,16.62087912
1.10E+11,A001002,"Block Group 2, Census Tract 1, District of Columbia, District of Columbia","Block Group 2, Census Tract 1, District of Columbia, District of Columbia",1463,3.075871497,5.433746425,15.70247934
1.10E+11,A001003,"Block Group 3, Census Tract 1, District of Columbia, District of Columbia","Block Group 3, Census Tract 1, District of Columbia, District of Columbia",972,1.440329218,9.256449165,16.60305344
1.10E+11,A001004,"Block Group 4, Census Tract 1, District of Columbia, District of Columbia","Block Group 4, Census Tract 1, District of Columbia, District of Columbia",1188,8.922558923,3.095975232,18.13643927
1.10E+11,A002011,"Block Group 1, Census Tract 2.01, District of Columbia, District of Columbia","Block Group 1, Census Tract 2.01, District of Columbia, District of Columbia",3733,66.26506024,6.476997579,0
1.10E+11,A002021,"Block Group 1, Census Tract 2.02, District of Columbia, District of Columbia","Block Group 1, Census Tract 2.02, District of Columbia, District of Columbia",1224,15.68627451,2.124430956,16.8241966
1.10E+11,A002022,"Block Group 2, Census Tract 2.02, District of Columbia, District of Columbia","Block Group 2, Census Tract 2.02, District of Columbia, District of Columbia",566,7.243816254,0,6.329113924
1.10E+11,A002023,"Block Group 3, Census Tract 2.02, District of Columbia, District of Columbia","Block Group 3, Census Tract 2.02, District of Columbia, District of Columbia",895,21.55272306,10.46728972,5.135135135
1.10E+11,A002024,"Block Group 4, Census Tract 2.02, District of Columbia, District of Columbia","Block Group 4, Census Tract 2.02, District of Columbia, District of Columbia",1732,35.54083885,4.782608696,21.69811321
1.10E+11,A003001,"Block Group 1, Census Tract 3, District of Columbia, District of Columbia","Block Group 1, Census Tract 3, District of Columbia, District of Columbia",1114,11.22082585,3.059805285,8.20610687
1.10E+11,A003002,"Block Group 2, Census Tract 3, District of Columbia, District of Columbia","Block Group 2, Census Tract 3, District of Columbia, District of Columbia",1492,5.09383378,2.756892231,0
1.10E+11,A003003,"Block Group 3, Census Tract 3, District of Columbia, District of Columbia","Block Group 3, Census Tract 3, District of Columbia, District of Columbia",1611,42.33395407,0,2.626970228
1.10E+11,A003004,"Block Group 4, Census Tract 3, District of Columbia, District of Columbia","Block Group 4, Census Tract 3, District of Columbia, District of Columbia",1922,9.781477627,2.64255911,0
1.10E+11,A004001,"Block Group 1, Census Tract 4, District of Columbia, District of Columbia","Block Group 1, Census Tract 4, District of Columbia, District of Columbia",555,8.108108108,0,13.55932203
