"timeframe","geo2010","geo2010_nf","start_date","end_date","PctUnemployed","Pct16andOverEmployed","PctUnemployed_m","Pct16andOverEmployed_m","ucounty","indc"
"2012-16","DC Tract 1",11001000100,"01JAN2012","31DEC2016",4.2,73,3.5,8.6,"District of Columbia",1
"2012-16","DC Tract 2.01",11001000201,"01JAN2012","31DEC2016",6.6,41,5.9,8.7,"District of Columbia",1
"2012-16","DC Tract 2.02",11001000202,"01JAN2012","31DEC2016",4.7,57,3.1,4.4,"District of Columbia",1
"2012-16","DC Tract 3",11001000300,"01JAN2012","31DEC2016",2.1,80,2.4,5.8,"District of Columbia",1
"2012-16","DC Tract 4",11001000400,"01JAN2012","31DEC2016",0.5,64,7.1,8.0,"District of Columbia",1
"2012-16","DC Tract 5.01",11001000501,"01JAN2012","31DEC2016",2.4,83,2.9,11,"District of Columbia",1
"2012-16","DC Tract 5.02",11001000502,"01JAN2012","31DEC2016",1.5,79,3.0,7.0,"District of Columbia",1
"2012-16","DC Tract 6",11001000600,"01JAN2012","31DEC2016",1.9,73,2.5,8.2,"District of Columbia",1
"2012-16","DC Tract 7.01",11001000701,"01JAN2012","31DEC2016",3.6,62,3.5,7.5,"District of Columbia",1
"2012-16","DC Tract 7.02",11001000702,"01JAN2012","31DEC2016",5.7,80,6.0,11,"District of Columbia",1
"2012-16","DC Tract 8.01",11001000801,"01JAN2012","31DEC2016",7.4,57,4.9,4.9,"District of Columbia",1
"2012-16","DC Tract 8.02",11001000802,"01JAN2012","31DEC2016",3.4,62,3.8,5.8,"District of Columbia",1
"2012-16","DC Tract 9.01",11001000901,"01JAN2012","31DEC2016",9.0,46,5.2,4.3,"District of Columbia",1
"2012-16","DC Tract 9.02",11001000902,"01JAN2012","31DEC2016",2.5,71,4.4,7.4,"District of Columbia",1
"2012-16","DC Tract 10.01",11001001001,"01JAN2012","31DEC2016",1.9,65,2.3,4.9,"District of Columbia",1
"2012-16","DC Tract 10.02",11001001002,"01JAN2012","31DEC2016",3.7,71,3.4,7.9,"District of Columbia",1
"2012-16","DC Tract 11",11001001100,"01JAN2012","31DEC2016",1.7,67,3.2,7.0,"District of Columbia",1
"2012-16","DC Tract 12",11001001200,"01JAN2012","31DEC2016",2.6,77,3.3,6.5,"District of Columbia",1
"2012-16","DC Tract 13.01",11001001301,"01JAN2012","31DEC2016",2.7,79,3.0,7.9,"District of Columbia",1
"2012-16","DC Tract 13.02",11001001302,"01JAN2012","31DEC2016",2.4,78,2.1,7.1,"District of Columbia",1
"2012-16","DC Tract 14.01",11001001401,"01JAN2012","31DEC2016",4.4,67,3.6,6.2,"District of Columbia",1
"2012-16","DC Tract 14.02",11001001402,"01JAN2012","31DEC2016",2.9,64,4.4,7.9,"District of Columbia",1
"2012-16","DC Tract 15",11001001500,"01JAN2012","31DEC2016",4.5,64,3.8,5.3,"District of Columbia",1
"2012-16","DC Tract 16",11001001600,"01JAN2012","31DEC2016",6.9,63,3.5,5.6,"District of Columbia",1
"2012-16","DC Tract 17.02",11001001702,"01JAN2012","31DEC2016",4.3,75,3.4,8.6,"District of Columbia",1
"2012-16","DC Tract 18.03",11001001803,"01JAN2012","31DEC2016",5.4,69,3.9,6.5,"District of Columbia",1
"2012-16","DC Tract 18.04",11001001804,"01JAN2012","31DEC2016",7.2,61,4.1,6.9,"District of Columbia",1
"2012-16","DC Tract 19.01",11001001901,"01JAN2012","31DEC2016",11,59,4.6,5.5,"District of Columbia",1
"2012-16","DC Tract 19.02",11001001902,"01JAN2012","31DEC2016",8.8,60,6.0,8.3,"District of Columbia",1
"2012-16","DC Tract 20.01",11001002001,"01JAN2012","31DEC2016",6.7,61,4.8,5.8,"District of Columbia",1
"2012-16","DC Tract 20.02",11001002002,"01JAN2012","31DEC2016",8.8,67,4.9,1.9,"District of Columbia",1
"2012-16","DC Tract 21.01",11001002101,"01JAN2012","31DEC2016",8.0,68,5.0,8.3,"District of Columbia",1
"2012-16","DC Tract 21.02",11001002102,"01JAN2012","31DEC2016",7.4,66,4.2,7.3,"District of Columbia",1
