GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under .50,Margin of Error; Total: - Under .50,Estimate; Total: - .50 to .99,Margin of Error; Total: - .50 to .99,Estimate; Total: - 1.00 to 1.24,Margin of Error; Total: - 1.00 to 1.24,Estimate; Total: - 1.25 to 1.49,Margin of Error; Total: - 1.25 to 1.49,Estimate; Total: - 1.50 to 1.84,Margin of Error; Total: - 1.50 to 1.84,Estimate; Total: - 1.85 to 1.99,Margin of Error; Total: - 1.85 to 1.99,Estimate; Total: - 2.00 and over,Margin of Error; Total: - 2.00 and over
1500000US110010001001,110010001001,"Block Group 1, Census Tract 1, District of Columbia, District of Columbia",1359,312,0,12,0,12,0,12,0,12,18,26,0,12,1341,315
1500000US110010001002,110010001002,"Block Group 2, Census Tract 1, District of Columbia, District of Columbia",1463,304,31,38,14,23,0,12,80,79,50,80,20,33,1268,308
1500000US110010001003,110010001003,"Block Group 3, Census Tract 1, District of Columbia, District of Columbia",972,217,14,24,0,12,7,13,12,20,0,12,41,57,898,207
1500000US110010001004,110010001004,"Block Group 4, Census Tract 1, District of Columbia, District of Columbia",1188,337,106,167,0,12,0,12,44,72,0,12,0,12,1038,281
1500000US110010002011,110010002011,"Block Group 1, Census Tract 2.01, District of Columbia, District of Columbia",83,53,36,63,19,32,0,12,0,12,0,12,0,12,28,24
1500000US110010002021,110010002021,"Block Group 1, Census Tract 2.02, District of Columbia, District of Columbia",1224,326,183,151,9,16,17,26,0,12,8,12,0,12,1007,280
1500000US110010002022,110010002022,"Block Group 2, Census Tract 2.02, District of Columbia, District of Columbia",566,138,19,21,22,33,10,16,0,12,0,12,0,12,515,136
1500000US110010002023,110010002023,"Block Group 3, Census Tract 2.02, District of Columbia, District of Columbia",863,247,167,129,19,30,0,12,0,12,26,35,0,12,651,161
1500000US110010002024,110010002024,"Block Group 4, Census Tract 2.02, District of Columbia, District of Columbia",906,347,322,258,0,12,14,20,30,35,48,75,0,12,492,150
1500000US110010003001,110010003001,"Block Group 1, Census Tract 3, District of Columbia, District of Columbia",1114,308,44,44,81,82,0,12,0,12,14,24,0,12,975,297
1500000US110010003002,110010003002,"Block Group 2, Census Tract 3, District of Columbia, District of Columbia",1492,261,76,55,0,12,38,44,0,12,24,29,0,12,1354,262
1500000US110010003003,110010003003,"Block Group 3, Census Tract 3, District of Columbia, District of Columbia",1611,625,436,368,246,188,72,74,0,12,0,12,0,12,857,229
1500000US110010003004,110010003004,"Block Group 4, Census Tract 3, District of Columbia, District of Columbia",1922,419,153,115,35,58,69,68,0,12,0,12,0,12,1665,364
1500000US110010004001,110010004001,"Block Group 1, Census Tract 4, District of Columbia, District of Columbia",555,139,28,26,17,20,0,12,0,12,0,12,3,7,507,132
1500000US110010004002,110010004002,"Block Group 2, Census Tract 4, District of Columbia, District of Columbia",1048,217,97,65,24,36,0,12,20,23,0,12,33,29,874,210
1500000US110010005011,110010005011,"Block Group 1, Census Tract 5.01, District of Columbia, District of Columbia",1467,288,65,81,60,48,21,36,41,68,29,50,0,12,1251,265
1500000US110010005012,110010005012,"Block Group 2, Census Tract 5.01, District of Columbia, District of Columbia",1967,310,59,70,73,122,16,25,23,32,37,32,22,26,1737,306
1500000US110010005021,110010005021,"Block Group 1, Census Tract 5.02, District of Columbia, District of Columbia",1669,182,17,20,12,16,8,13,14,21,19,21,0,12,1599,171
1500000US110010005022,110010005022,"Block Group 2, Census Tract 5.02, District of Columbia, District of Columbia",1376,163,37,29,0,12,21,23,33,39,14,20,0,12,1271,156
1500000US110010006001,110010006001,"Block Group 1, Census Tract 6, District of Columbia, District of Columbia",1131,298,46,53,19,29,0,12,0,12,0,12,0,12,1066,293
1500000US110010006002,110010006002,"Block Group 2, Census Tract 6, District of Columbia, District of Columbia",988,373,0,12,62,73,32,48,0,12,11,16,0,12,883,307
1500000US110010006003,110010006003,"Block Group 3, Census Tract 6, District of Columbia, District of Columbia",802,250,67,52,62,110,0,12,0,12,0,12,0,12,673,242
1500000US110010006004,110010006004,"Block Group 4, Census Tract 6, District of Columbia, District of Columbia",1699,345,0,12,15,26,0,12,0,12,0,12,38,45,1646,324
1500000US110010007011,110010007011,"Block Group 1, Census Tract 7.01, District of Columbia, District of Columbia",1243,287,227,145,129,115,0,12,10,14,14,23,0,12,863,247
1500000US110010007012,110010007012,"Block Group 2, Census Tract 7.01, District of Columbia, District of Columbia",1382,422,40,43,0,12,20,33,12,20,27,43,0,12,1283,423
1500000US110010007013,110010007013,"Block Group 3, Census Tract 7.01, District of Columbia, District of Columbia",1685,269,58,72,27,40,12,19,135,205,13,20,40,64,1400,259
1500000US110010007014,110010007014,"Block Group 4, Census Tract 7.01, District of Columbia, District of Columbia",1015,349,46,55,111,143,19,16,0,12,12,20,0,12,827,323
1500000US110010007021,110010007021,"Block Group 1, Census Tract 7.02, District of Columbia, District of Columbia",1465,215,84,60,68,85,14,22,72,71,29,46,11,17,1187,216
1500000US110010007022,110010007022,"Block Group 2, Census Tract 7.02, District of Columbia, District of Columbia",1031,261,189,185,27,32,120,93,0,12,0,12,10,16,685,201
1500000US110010007023,110010007023,"Block Group 3, Census Tract 7.02, District of Columbia, District of Columbia",860,267,41,65,13,21,17,27,0,12,15,24,65,91,709,222
1500000US110010008011,110010008011,"Block Group 1, Census Tract 8.01, District of Columbia, District of Columbia",2153,347,335,177,68,55,13,22,62,76,13,21,0,12,1662,345
1500000US110010008012,110010008012,"Block Group 2, Census Tract 8.01, District of Columbia, District of Columbia",851,304,0,12,0,12,0,12,0,12,0,12,0,12,851,304
1500000US110010008013,110010008013,"Block Group 3, Census Tract 8.01, District of Columbia, District of Columbia",2626,604,331,403,18,28,0,12,0,12,21,32,0,12,2256,448
1500000US110010008014,110010008014,"Block Group 4, Census Tract 8.01, District of Columbia, District of Columbia",706,237,3,4,13,19,0,12,83,90,24,40,0,12,583,215
1500000US110010008021,110010008021,"Block Group 1, Census Tract 8.02, District of Columbia, District of Columbia",1840,233,163,97,28,27,70,79,0,12,21,23,12,13,1546,221
1500000US110010008022,110010008022,"Block Group 2, Census Tract 8.02, District of Columbia, District of Columbia",1373,338,305,205,33,29,0,12,50,56,0,12,0,12,985,248
1500000US110010009011,110010009011,"Block Group 1, Census Tract 9.01, District of Columbia, District of Columbia",1663,267,116,80,13,20,11,16,21,27,0,12,0,12,1502,244
1500000US110010009012,110010009012,"Block Group 2, Census Tract 9.01, District of Columbia, District of Columbia",1725,309,63,42,4,9,0,12,0,12,50,55,13,20,1595,276
1500000US110010009013,110010009013,"Block Group 3, Census Tract 9.01, District of Columbia, District of Columbia",1314,287,215,165,55,100,0,12,27,29,0,12,0,12,1017,154
1500000US110010009021,110010009021,"Block Group 1, Census Tract 9.02, District of Columbia, District of Columbia",1067,209,24,19,10,12,0,12,120,170,6,10,1,4,906,151
1500000US110010009022,110010009022,"Block Group 2, Census Tract 9.02, District of Columbia, District of Columbia",1400,170,8,12,15,16,0,12,0,12,4,7,0,12,1373,164
